date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:47	128/128	---MCZ	200	added ('OK')	text/plain	date:Mon,%2006%20Feb%202023%2021:51:46%20GMT	https://www.paravision.ai/robots.txt		(from )
18:51:47	42756/42756	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2021:51:46%20GMT	https://www.paravision.ai/	C:/Users/barst/Desktop/coderstack/coderstack/www.paravision.ai/index.html	(from )
18:51:47	4792/4792	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8DA170D11CE381E	https://cookie-cdn.cookiepro.com/consent/4146cd09-7cba-4e2d-b8b8-acb369b4fcb3/OtAutoBlock.js	C:/Users/barst/Desktop/coderstack/coderstack/cookie-cdn.cookiepro.com/consent/4146cd09-7cba-4e2d-b8b8-acb369b4fcb3/OtAutoBlock.js	(from https://www.paravision.ai/)
18:51:47	19352/19352	---M-Z	200	added ('OK')	application/x-javascript	etag:0x8DA072D4E6EB4AD	https://cookie-cdn.cookiepro.com/consent/4146cd09-7cba-4e2d-b8b8-acb369b4fcb3/otSDKStub.js	C:/Users/barst/Desktop/coderstack/coderstack/cookie-cdn.cookiepro.com/consent/4146cd09-7cba-4e2d-b8b8-acb369b4fcb3/otSDKStub.js	(from https://www.paravision.ai/)
18:51:48	775/775	---MCZ	200	added ('OK')	application/javascript	etag:W/%226392ed3d-3d1%22	https://www.paravision.ai/wp-content/themes/paravision-2022/static/js/cookie-pro-C0004.js	C:/Users/barst/Desktop/coderstack/coderstack/www.paravision.ai/wp-content/themes/paravision-2022/static/js/cookie-pro-C0004.js	(from https://www.paravision.ai/)
18:51:48	13075/13075	---M--	200	added ('OK')	image/png	etag:%226392ed3d-3313%22	https://www.paravision.ai/wp-content/themes/paravision-2022/static/images/favicon/apple-touch-icon.png?2	C:/Users/barst/Desktop/coderstack/coderstack/www.paravision.ai/wp-content/themes/paravision-2022/static/images/favicon/apple-touch-iconc81e.png	(from https://www.paravision.ai/)
18:51:49	1675/1675	---M--	200	added ('OK')	image/png	etag:%226392ed3d-68b%22	https://www.paravision.ai/wp-content/themes/paravision-2022/static/images/favicon/favicon-32x32.png?2	C:/Users/barst/Desktop/coderstack/coderstack/www.paravision.ai/wp-content/themes/paravision-2022/static/images/favicon/favicon-32x32c81e.png	(from https://www.paravision.ai/)
18:51:49	1250/1250	---M--	200	added ('OK')	image/png	etag:%226392ed3d-4e2%22	https://www.paravision.ai/wp-content/themes/paravision-2022/static/images/favicon/favicon-16x16.png?2	C:/Users/barst/Desktop/coderstack/coderstack/www.paravision.ai/wp-content/themes/paravision-2022/static/images/favicon/favicon-16x16c81e.png	(from https://www.paravision.ai/)
18:51:50	0/0	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Feb%202023%2021:51:49%20GMT	https://www.paravision.ai/site.webmanifest	C:/Users/barst/Desktop/coderstack/coderstack/www.paravision.ai/site.webmanifest	(from https://www.paravision.ai/)
18:51:50	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%226392ed34-d9%22	https://www.paravision.ai/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/barst/Desktop/coderstack/coderstack/www.paravision.ai/wp-includes/css/classic-themes.min68b3.css	(from https://www.paravision.ai/)
